id	output
{"blockNumber":"15755448","chainId":8453,"oracleAddress":"0x4756c26E01E61c7c2F86b10f4316e179db8F9425"}	{"price": "3712357236844621465219033909"}
{"blockNumber":"15755505","chainId":8453,"oracleAddress":"0x4756c26E01E61c7c2F86b10f4316e179db8F9425"}	{"price": "3712357236844621465219033909"}
{"blockNumber":"15755755","chainId":8453,"oracleAddress":"0x4756c26E01E61c7c2F86b10f4316e179db8F9425"}	{"price": "3719404497665129424059337425"}
{"blockNumber":"15756122","chainId":8453,"oracleAddress":"0x4756c26E01E61c7c2F86b10f4316e179db8F9425"}	{"price": "3719404497665129424059337425"}
{"blockNumber":"15757508","chainId":8453,"oracleAddress":"0x4756c26E01E61c7c2F86b10f4316e179db8F9425"}	{"price": "3723014346060490193279149141"}
{"blockNumber":"15757552","chainId":8453,"oracleAddress":"0x4756c26E01E61c7c2F86b10f4316e179db8F9425"}	{"price": "3723014346060490193279149141"}
{"blockNumber":"15806773","chainId":8453,"oracleAddress":"0x4756c26E01E61c7c2F86b10f4316e179db8F9425"}	{"price": "3738873700502357023870163488"}
{"blockNumber":"16620773","chainId":8453,"oracleAddress":"0xFEa2D58cEfCb9fcb597723c6bAE66fFE4193aFE4"}	{"price": "3295656764618531429783694447"}
{"blockNumber":"16620685","chainId":8453,"oracleAddress":"0xFEa2D58cEfCb9fcb597723c6bAE66fFE4193aFE4"}	{"price": "3295656764618531429783694447"}
{"blockNumber":"16619238","chainId":8453,"oracleAddress":"0xFEa2D58cEfCb9fcb597723c6bAE66fFE4193aFE4"}	{"price": "3310135083734373745058477505"}
{"blockNumber":"16619599","chainId":8453,"oracleAddress":"0xFEa2D58cEfCb9fcb597723c6bAE66fFE4193aFE4"}	{"price": "3301667232894114780482547395"}
{"blockNumber":"16621793","chainId":8453,"oracleAddress":"0xFEa2D58cEfCb9fcb597723c6bAE66fFE4193aFE4"}	{"price": "3298056951617100488299043378"}
{"blockNumber":"16619396","chainId":8453,"oracleAddress":"0xFEa2D58cEfCb9fcb597723c6bAE66fFE4193aFE4"}	{"price": "3306720712020673530674774871"}
{"blockNumber":"16620691","chainId":8453,"oracleAddress":"0xFEa2D58cEfCb9fcb597723c6bAE66fFE4193aFE4"}	{"price": "3295656764618531429783694447"}
{"blockNumber":"16620641","chainId":8453,"oracleAddress":"0xFEa2D58cEfCb9fcb597723c6bAE66fFE4193aFE4"}	{"price": "3295656764618531429783694447"}
{"blockNumber":"16620802","chainId":8453,"oracleAddress":"0xFEa2D58cEfCb9fcb597723c6bAE66fFE4193aFE4"}	{"price": "3295656764618531429783694447"}
{"blockNumber":"16400173","chainId":8453,"oracleAddress":"0xFEa2D58cEfCb9fcb597723c6bAE66fFE4193aFE4"}	{"price": "3405052646440743297267787316"}
{"blockNumber":"16622968","chainId":8453,"oracleAddress":"0xFEa2D58cEfCb9fcb597723c6bAE66fFE4193aFE4"}	{"price": "3277849577260564370570111117"}
